,,data
10,648585,-48.0
10,648586,-47.0
10,648587,-46.0
10,648588,-53.0
10,648589,-61.0
10,648590,51.0
10,648591,251.0
10,648592,310.0
10,648593,128.0
10,648594,-26.0
10,648595,-48.0
10,648596,-31.0
10,648597,-30.0
10,648598,-28.0
10,648599,-21.0
10,648600,-15.0
10,648601,-11.0
10,648602,-8.0
10,648603,-3.0
10,648604,1.0
10,648605,6.0
10,648606,10.0
10,648607,18.0
10,648608,31.0
10,648609,45.0
10,648610,53.0
10,648611,61.0
10,648612,72.0
10,648613,82.0
10,648614,87.0
10,648615,78.0
10,648616,57.0
10,648617,30.0
10,648618,6.0
10,648619,-16.0
10,648620,-40.0
10,648621,-56.0
10,648622,-63.0
10,648623,-65.0
10,648624,-61.0
10,648625,-58.0
10,648626,-57.0
10,648627,-55.0
10,648628,-45.0
10,648629,-31.0
10,648630,-16.0
10,648631,-10.0
10,648632,-22.0
10,648633,-42.0
10,648634,-55.0
10,648635,-60.0
10,648636,-62.0
10,648637,-61.0
10,648638,-68.0
10,648639,-76.0
10,648640,27.0
10,648641,208.0
10,648642,256.0
10,648643,71.0
10,648644,-67.0
10,648645,-80.0
10,648646,-46.0
10,648647,-38.0
10,648648,-36.0
10,648649,-32.0
10,648650,-27.0
10,648651,-21.0
10,648652,-15.0
10,648653,-7.0
10,648654,0.0
10,648655,8.0
10,648656,17.0
10,648657,28.0
10,648658,37.0
10,648659,43.0
10,648660,50.0
10,648661,56.0
10,648662,67.0
10,648663,76.0
10,648664,81.0
10,648665,72.0
10,648666,53.0
10,648667,28.0
10,648668,7.0
10,648669,-13.0
10,648670,-32.0
10,648671,-47.0
10,648672,-56.0
10,648673,-58.0
10,648674,-60.0
10,648675,-61.0
10,648676,-62.0
10,648677,-57.0
10,648678,-45.0
10,648679,-27.0
10,648680,-10.0
10,648681,-3.0
10,648682,-15.0
10,648683,-38.0
10,648684,-60.0
10,648685,-70.0
10,648686,-71.0
10,648687,-67.0
10,648688,-72.0
10,648689,-83.0
10,648690,-18.0
10,648691,176.0
10,648692,298.0
10,648693,175.0
10,648694,-17.0
10,648695,-75.0
10,648696,-56.0
10,648697,-46.0
10,648698,-42.0
10,648699,-38.0
10,648700,-33.0
10,648701,-28.0
10,648702,-21.0
10,648703,-12.0
10,648704,-1.0
10,648705,8.0
10,648706,21.0
10,648707,32.0
10,648708,43.0
10,648709,53.0
10,648710,61.0
10,648711,73.0
10,648712,87.0
10,648713,98.0
10,648714,103.0
10,648715,98.0
10,648716,85.0
10,648717,56.0
10,648718,25.0
10,648719,-1.0
10,648720,-23.0
10,648721,-40.0
10,648722,-47.0
10,648723,-55.0
10,648724,-58.0
10,648725,-63.0
10,648726,-63.0
10,648727,-58.0
10,648728,-51.0
10,648729,-38.0
10,648730,-25.0
10,648731,-13.0
10,648732,-16.0
10,648733,-32.0
10,648734,-48.0
10,648735,-55.0
10,648736,-58.0
10,648737,-58.0
10,648738,-61.0
10,648739,-71.0
10,648740,-32.0
10,648741,135.0
10,648742,282.0
10,648743,202.0
10,648744,12.0
10,648745,-65.0
10,648746,-50.0
10,648747,-40.0
10,648748,-41.0
10,648749,-36.0
10,648750,-33.0
10,648751,-32.0
10,648752,-31.0
10,648753,-23.0
10,648754,-15.0
10,648755,-6.0
10,648756,2.0
10,648757,13.0
10,648758,26.0
10,648759,42.0
10,648760,56.0
10,648761,66.0
10,648762,75.0
10,648763,86.0
10,648764,95.0
10,648765,90.0
10,648766,71.0
10,648767,47.0
10,648768,22.0
10,648769,0.0
10,648770,-22.0
10,648771,-43.0
10,648772,-52.0
10,648773,-55.0
10,648774,-53.0
10,648775,-56.0
10,648776,-58.0
10,648777,-55.0
10,648778,-47.0
10,648779,-37.0
10,648780,-23.0
10,648781,-13.0
10,648782,-18.0
10,648783,-37.0
10,648784,-56.0
10,648785,-66.0
10,648786,-67.0
10,648787,-66.0
10,648788,-71.0
10,648789,-86.0
10,648790,-50.0
10,648791,118.0
10,648792,282.0
10,648793,218.0
10,648794,22.0
10,648795,-68.0
10,648796,-57.0
10,648797,-48.0
10,648798,-50.0
10,648799,-47.0
10,648800,-45.0
10,648801,-41.0
10,648802,-36.0
10,648803,-27.0
10,648804,-20.0
10,648805,-10.0
10,648806,-1.0
10,648807,8.0
10,648808,18.0
10,648809,31.0
10,648810,43.0
10,648811,57.0
10,648812,71.0
10,648813,85.0
10,648814,98.0
10,648815,96.0
10,648816,78.0
10,648817,50.0
10,648818,21.0
10,648819,-5.0
10,648820,-26.0
10,648821,-38.0
10,648822,-46.0
10,648823,-51.0
10,648824,-55.0
10,648825,-56.0
10,648826,-56.0
10,648827,-53.0
10,648828,-48.0
10,648829,-40.0
10,648830,-26.0
10,648831,-11.0
10,648832,-7.0
10,648833,-18.0
10,648834,-37.0
10,648835,-48.0
10,648836,-53.0
10,648837,-55.0
10,648838,-53.0
10,648839,-60.0
10,648840,-70.0
10,648841,12.0
10,648842,212.0
10,648843,306.0
10,648844,157.0
10,648845,-21.0
10,648846,-62.0
10,648847,-42.0
10,648848,-33.0
10,648849,-28.0
10,648850,-27.0
10,648851,-25.0
10,648852,-22.0
10,648853,-18.0
10,648854,-10.0
10,648855,-1.0
10,648856,5.0
10,648857,13.0
10,648858,25.0
10,648859,37.0
10,648860,47.0
10,648861,60.0
10,648862,71.0
10,648863,80.0
10,648864,88.0
10,648865,96.0
10,648866,93.0
10,648867,75.0
10,648868,46.0
10,648869,15.0
10,648870,-12.0
10,648871,-31.0
10,648872,-47.0
10,648873,-55.0
10,648874,-60.0
10,648875,-61.0
10,648876,-60.0
10,648877,-61.0
10,648878,-57.0
10,648879,-48.0
10,648880,-35.0
10,648881,-20.0
10,648882,-12.0
10,648883,-18.0
10,648884,-32.0
10,648885,-46.0
10,648886,-55.0
10,648887,-57.0
10,648888,-56.0
10,648889,-60.0
10,648890,-72.0
10,648891,-16.0
10,648892,162.0
10,648893,280.0
10,648894,161.0
10,648895,-23.0
10,648896,-80.0
10,648897,-60.0
10,648898,-52.0
10,648899,-50.0
10,648900,-40.0
10,648901,-31.0
10,648902,-28.0
10,648903,-27.0
10,648904,-20.0
10,648905,-6.0
10,648906,6.0
10,648907,15.0
10,648908,25.0
10,648909,32.0
10,648910,41.0
10,648911,50.0
10,648912,57.0
10,648913,66.0
10,648914,76.0
10,648915,82.0
10,648916,76.0
10,648917,56.0
10,648918,25.0
10,648919,-5.0
10,648920,-33.0
10,648921,-50.0
10,648922,-57.0
10,648923,-60.0
10,648924,-63.0
10,648925,-65.0
10,648926,-63.0
10,648927,-58.0
10,648928,-55.0
10,648929,-47.0
10,648930,-38.0
10,648931,-28.0
10,648932,-18.0
10,648933,-21.0
10,648934,-36.0
10,648935,-55.0
10,648936,-66.0
10,648937,-66.0
10,648938,-66.0
10,648939,-65.0
10,648940,-80.0
10,648941,-63.0
10,648942,76.0
10,648943,297.0
10,648944,256.0
10,648945,56.0
10,648946,-76.0
10,648947,-65.0
10,648948,-46.0
10,648949,-42.0
10,648950,-38.0
10,648951,-35.0
10,648952,-31.0
10,648953,-23.0
10,648954,-17.0
10,648955,-7.0
10,648956,1.0
10,648957,7.0
10,648958,18.0
10,648959,35.0
10,648960,47.0
10,648961,61.0
10,648962,73.0
10,648963,86.0
10,648964,98.0
10,648965,107.0
10,648966,110.0
10,648967,97.0
10,648968,73.0
10,648969,43.0
10,648970,16.0
10,648971,-7.0
10,648972,-27.0
10,648973,-42.0
10,648974,-48.0
10,648975,-48.0
10,648976,-48.0
10,648977,-50.0
10,648978,-52.0
10,648979,-53.0
10,648980,-42.0
10,648981,-27.0
10,648982,-12.0
10,648983,-8.0
10,648984,-15.0
10,648985,-33.0
10,648986,-51.0
10,648987,-60.0
10,648988,-62.0
10,648989,-63.0
10,648990,-68.0
10,648991,-77.0
10,648992,-11.0
10,648993,178.0
10,648994,291.0
10,648995,162.0
10,648996,-22.0
10,648997,-73.0
10,648998,-52.0
10,648999,-41.0
10,649000,-35.0
10,649001,-32.0
10,649002,-30.0
10,649003,-26.0
10,649004,-21.0
10,649005,-16.0
10,649006,-11.0
10,649007,-2.0
10,649008,5.0
10,649009,16.0
10,649010,30.0
10,649011,42.0
10,649012,55.0
10,649013,67.0
10,649014,78.0
10,649015,88.0
10,649016,92.0
10,649017,88.0
10,649018,71.0
10,649019,43.0
10,649020,15.0
10,649021,-11.0
10,649022,-32.0
10,649023,-46.0
10,649024,-55.0
10,649025,-58.0
10,649026,-61.0
10,649027,-60.0
10,649028,-60.0
10,649029,-58.0
10,649030,-52.0
10,649031,-43.0
10,649032,-30.0
10,649033,-17.0
10,649034,-13.0
10,649035,-28.0
10,649036,-48.0
10,649037,-60.0
10,649038,-63.0
10,649039,-63.0
10,649040,-62.0
10,649041,-78.0
10,649042,-66.0
10,649043,70.0
10,649044,293.0
10,649045,256.0
10,649046,63.0
10,649047,-70.0
10,649048,-58.0
10,649049,-42.0
10,649050,-38.0
10,649051,-35.0
10,649052,-32.0
10,649053,-28.0
10,649054,-25.0
10,649055,-18.0
10,649056,-11.0
10,649057,-2.0
10,649058,6.0
10,649059,15.0
10,649060,26.0
10,649061,37.0
10,649062,47.0
10,649063,57.0
10,649064,67.0
10,649065,76.0
10,649066,86.0
10,649067,90.0
10,649068,81.0
10,649069,61.0
10,649070,32.0
10,649071,5.0
10,649072,-20.0
10,649073,-36.0
10,649074,-48.0
10,649075,-52.0
10,649076,-55.0
10,649077,-57.0
10,649078,-60.0
10,649079,-57.0
10,649080,-53.0
10,649081,-45.0
10,649082,-33.0
10,649083,-20.0
10,649084,-12.0
10,649085,-18.0
10,649086,-37.0
10,649087,-53.0
10,649088,-61.0
10,649089,-62.0
10,649090,-62.0
10,649091,-66.0
10,649092,-76.0
10,649093,-8.0
10,649094,177.0
10,649095,285.0
10,649096,155.0
10,649097,-25.0
10,649098,-72.0
10,649099,-52.0
10,649100,-41.0
10,649101,-36.0
10,649102,-32.0
10,649103,-30.0
10,649104,-27.0
10,649105,-22.0
10,649106,-16.0
10,649107,-7.0
10,649108,1.0
10,649109,8.0
10,649110,18.0
10,649111,31.0
10,649112,41.0
10,649113,51.0
10,649114,61.0
10,649115,72.0
10,649116,82.0
10,649117,87.0
10,649118,83.0
10,649119,70.0
10,649120,46.0
10,649121,17.0
10,649122,-10.0
10,649123,-31.0
10,649124,-45.0
10,649125,-52.0
10,649126,-56.0
10,649127,-58.0
10,649128,-58.0
10,649129,-58.0
10,649130,-56.0
10,649131,-50.0
10,649132,-40.0
10,649133,-27.0
10,649134,-15.0
10,649135,-11.0
10,649136,-26.0
10,649137,-43.0
10,649138,-56.0
10,649139,-61.0
10,649140,-62.0
10,649141,-61.0
10,649142,-76.0
10,649143,-65.0
10,649144,61.0
10,649145,245.0
10,649146,277.0
10,649147,60.0
10,649148,-72.0
10,649149,-62.0
10,649150,-43.0
10,649151,-37.0
10,649152,-33.0
10,649153,-31.0
10,649154,-28.0
10,649155,-26.0
10,649156,-21.0
10,649157,-13.0
10,649158,-6.0
10,649159,1.0
10,649160,12.0
10,649161,23.0
10,649162,35.0
10,649163,45.0
10,649164,56.0
10,649165,68.0
10,649166,78.0
10,649167,85.0
10,649168,86.0
10,649169,77.0
10,649170,57.0
10,649171,30.0
10,649172,3.0
10,649173,-16.0
10,649174,-32.0
10,649175,-43.0
10,649176,-48.0
10,649177,-50.0
10,649178,-48.0
10,649179,-48.0
10,649180,-47.0
10,649181,-43.0
10,649182,-36.0
10,649183,-25.0
10,649184,-12.0
10,649185,-2.0
10,649186,-6.0
10,649187,-23.0
10,649188,-42.0
10,649189,-51.0
10,649190,-53.0
10,649191,-53.0
10,649192,-58.0
10,649193,-71.0
10,649194,-37.0
10,649195,130.0
10,649196,288.0
10,649197,217.0
10,649198,18.0
10,649199,-70.0
10,649200,-55.0
10,649201,-42.0
10,649202,-38.0
10,649203,-36.0
10,649204,-32.0
10,649205,-28.0
10,649206,-21.0
10,649207,-13.0
10,649208,-5.0
10,649209,1.0
10,649210,10.0
10,649211,21.0
10,649212,32.0
10,649213,43.0
10,649214,55.0
10,649215,63.0
10,649216,72.0
10,649217,82.0
10,649218,90.0
10,649219,87.0
10,649220,72.0
10,649221,48.0
10,649222,20.0
10,649223,-3.0
10,649224,-23.0
10,649225,-38.0
10,649226,-48.0
10,649227,-55.0
10,649228,-57.0
10,649229,-58.0
10,649230,-57.0
10,649231,-58.0
10,649232,-57.0
10,649233,-50.0
10,649234,-38.0
10,649235,-25.0
10,649236,-15.0
10,649237,-17.0
10,649238,-33.0
10,649239,-52.0
10,649240,-61.0
10,649241,-63.0
10,649242,-62.0
10,649243,-63.0
10,649244,-78.0
10,649245,-58.0
10,649246,91.0
10,649247,292.0
10,649248,245.0
10,649249,47.0
10,649250,-72.0
10,649251,-63.0
10,649252,-48.0
10,649253,-45.0
10,649254,-41.0
10,649255,-36.0
10,649256,-31.0
10,649257,-26.0
10,649258,-22.0
10,649259,-16.0
10,649260,-8.0
10,649261,-1.0
10,649262,8.0
10,649263,20.0
10,649264,32.0
10,649265,45.0
10,649266,53.0
10,649267,66.0
10,649268,78.0
10,649269,87.0
10,649270,88.0
10,649271,76.0
10,649272,56.0
10,649273,28.0
10,649274,2.0
10,649275,-20.0
10,649276,-38.0
10,649277,-50.0
10,649278,-53.0
10,649279,-55.0
10,649280,-57.0
10,649281,-57.0
10,649282,-57.0
10,649283,-55.0
10,649284,-48.0
10,649285,-38.0
10,649286,-25.0
10,649287,-12.0
10,649288,-8.0
10,649289,-20.0
10,649290,-37.0
10,649291,-50.0
10,649292,-55.0
10,649293,-55.0
10,649294,-56.0
10,649295,-70.0
10,649296,-61.0
10,649297,61.0
10,649298,251.0
10,649299,291.0
10,649300,81.0
10,649301,-51.0
10,649302,-63.0
10,649303,-35.0
10,649304,-30.0
10,649305,-26.0
10,649306,-21.0
10,649307,-17.0
10,649308,-13.0
10,649309,-10.0
10,649310,-5.0
10,649311,0.0
10,649312,7.0
10,649313,15.0
10,649314,27.0
10,649315,42.0
10,649316,52.0
10,649317,63.0
10,649318,75.0
10,649319,83.0
10,649320,91.0
10,649321,95.0
10,649322,87.0
10,649323,67.0
10,649324,40.0
10,649325,11.0
10,649326,-12.0
10,649327,-31.0
10,649328,-45.0
10,649329,-52.0
10,649330,-56.0
10,649331,-57.0
10,649332,-58.0
10,649333,-60.0
10,649334,-61.0
10,649335,-57.0
10,649336,-46.0
10,649337,-31.0
10,649338,-17.0
10,649339,-10.0
10,649340,-16.0
10,649341,-36.0
10,649342,-52.0
10,649343,-61.0
10,649344,-61.0
10,649345,-60.0
10,649346,-63.0
10,649347,-72.0
10,649348,-6.0
10,649349,175.0
10,649350,275.0
10,649351,146.0
10,649352,-26.0
10,649353,-68.0
10,649354,-46.0
10,649355,-38.0
10,649356,-36.0
10,649357,-30.0
10,649358,-25.0
10,649359,-20.0
10,649360,-16.0
10,649361,-10.0
10,649362,-5.0
10,649363,2.0
10,649364,12.0
10,649365,23.0
10,649366,35.0
10,649367,46.0
10,649368,57.0
10,649369,66.0
10,649370,76.0
10,649371,83.0
10,649372,88.0
10,649373,85.0
10,649374,67.0
10,649375,41.0
10,649376,12.0
10,649377,-12.0
10,649378,-32.0
10,649379,-46.0
10,649380,-53.0
10,649381,-58.0
10,649382,-60.0
10,649383,-60.0
10,649384,-60.0
10,649385,-60.0
10,649386,-56.0
10,649387,-46.0
10,649388,-32.0
10,649389,-17.0
10,649390,-7.0
10,649391,-12.0
10,649392,-27.0
10,649393,-46.0
10,649394,-57.0
10,649395,-60.0
10,649396,-57.0
10,649397,-60.0
10,649398,-73.0
10,649399,-32.0
10,649400,147.0
10,649401,300.0
10,649402,210.0
10,649403,7.0
10,649404,-70.0
10,649405,-48.0
10,649406,-35.0
